"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
4078,22.8,22.8,77.2,"Uezwil AG","Uezwil (AG)","Uezwil AG","Uezwil hat die Aargauische Klimaschutzinitiative mit 77,2 Prozent abgelehnt.",,
4079,26.1,26.1,73.9,"Unterlunkhofen AG","Unterlunkhofen (AG)","Unterlunkhofen AG","Unterlunkhofen hat die Aargauische Klimaschutzinitiative mit 73,9 Prozent abgelehnt.",,
4080,22.6,22.6,77.4,"Villmergen AG","Villmergen (AG)","Villmergen AG","Villmergen hat die Aargauische Klimaschutzinitiative mit 77,4 Prozent abgelehnt.",,
4081,31.6,31.6,68.4,"Widen AG","Widen (AG)","Widen AG","Nein zur Aargauische Klimaschutzinitiative in Widen: 68,4 Prozent haben das Begehren abgelehnt.",,
4082,28.9,28.9,71.1,"Wohlen AG","Wohlen (AG)","Wohlen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Wohlen AG. 71,1 Prozent haben sie verworfen.",,
4083,27.1,27.1,72.9,"Zufikon AG","Zufikon (AG)","Zufikon AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Zufikon. 72,9 Prozent haben sie verworfen.",,
4084,31.6,31.6,68.4,"Islisberg AG","Islisberg (AG)","Islisberg AG","Nein zur Aargauische Klimaschutzinitiative in Islisberg: 68,4 Prozent haben das Begehren abgelehnt.",,
4091,27.2,27.2,72.8,"Auenstein AG","Auenstein (AG)","Auenstein AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Auenstein. 72,8 Prozent haben sie verworfen.",,
4092,25.2,25.2,74.8,"Birr AG","Birr (AG)","Birr AG","Nein zur Aargauische Klimaschutzinitiative in Birr: 74,8 Prozent haben das Begehren abgelehnt.",,
4093,22,22,78,"Birrhard AG","Birrhard (AG)","Birrhard AG","Nein zur Aargauische Klimaschutzinitiative in Birrhard: 78 Prozent haben das Begehren abgelehnt.",,
4095,41,41,59,"Brugg AG","Brugg (AG)","Brugg AG","Brugg hat die Aargauische Klimaschutzinitiative mit 59 Prozent abgelehnt.",,
4099,27.9,27.9,72.1,"Habsburg AG","Habsburg (AG)","Habsburg AG","Nein zur Aargauische Klimaschutzinitiative in Habsburg: 72,1 Prozent haben das Begehren abgelehnt.",,
4100,22.9,22.9,77.1,"Hausen AG","Hausen (AG)","Hausen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Hausen AG. 77,1 Prozent haben sie verworfen.",,
4104,26.5,26.5,73.5,"Lupfig AG","Lupfig (AG)","Lupfig AG","Lupfig hat die Aargauische Klimaschutzinitiative mit 73,5 Prozent abgelehnt.",,
4105,22,22,78,"Mandach AG","Mandach (AG)","Mandach AG","Mandach hat die Aargauische Klimaschutzinitiative mit 78 Prozent abgelehnt.",,
4106,20.2,20.2,79.8,"Mönthal AG","Mönthal (AG)","Mönthal AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Mönthal. 79,8 Prozent haben sie verworfen.",,
4107,33.9,33.9,66.1,"Mülligen AG","Mülligen (AG)","Mülligen AG","Nein zur Aargauische Klimaschutzinitiative in Mülligen: 66,1 Prozent haben das Begehren abgelehnt.",,
4110,27.4,27.4,72.6,"Remigen AG","Remigen (AG)","Remigen AG","Nein zur Aargauische Klimaschutzinitiative in Remigen: 72,6 Prozent haben das Begehren abgelehnt.",,
4111,33.1,33.1,66.9,"Riniken AG","Riniken (AG)","Riniken AG","Riniken hat die Aargauische Klimaschutzinitiative mit 66,9 Prozent abgelehnt.",,
4112,27.3,27.3,72.7,"Rüfenach AG","Rüfenach (AG)","Rüfenach AG","Nein zur Aargauische Klimaschutzinitiative in Rüfenach: 72,7 Prozent haben das Begehren abgelehnt.",,
4117,25.4,25.4,74.6,"Thalheim AG","Thalheim (AG)","Thalheim AG","Thalheim AG hat die Aargauische Klimaschutzinitiative mit 74,6 Prozent abgelehnt.",,
4120,26,26,74,"Veltheim AG","Veltheim (AG)","Veltheim AG","Veltheim AG hat die Aargauische Klimaschutzinitiative mit 74 Prozent abgelehnt.",,
4121,26.6,26.6,73.4,"Villigen AG","Villigen (AG)","Villigen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Villigen. 73,4 Prozent haben sie verworfen.",,
4122,24.6,24.6,75.4,"Villnachern AG","Villnachern (AG)","Villnachern AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Villnachern. 75,4 Prozent haben sie verworfen.",,
4123,47.6,47.6,52.4,"Windisch AG","Windisch (AG)","Windisch AG","Windisch hat die Aargauische Klimaschutzinitiative mit 52,4 Prozent abgelehnt.",,
4124,25.8,25.8,74.2,"Bözberg AG","Bözberg (AG)","Bözberg AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Bözberg. 74,2 Prozent haben sie verworfen.",,
4125,29.4,29.4,70.6,"Schinznach AG","Schinznach (AG)","Schinznach AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Schinznach. 70,6 Prozent haben sie verworfen.",,
4131,34.4,34.4,65.6,"Beinwil am See AG","Beinwil am See (AG)","Beinwil am See AG","Beinwil am See hat die Aargauische Klimaschutzinitiative mit 65,6 Prozent abgelehnt.",,
4132,27.2,27.2,72.8,"Birrwil AG","Birrwil (AG)","Birrwil AG","Nein zur Aargauische Klimaschutzinitiative in Birrwil: 72,8 Prozent haben das Begehren abgelehnt.",,
4134,15.1,15.1,84.9,"Dürrenäsch AG","Dürrenäsch (AG)","Dürrenäsch AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Dürrenäsch. 84,9 Prozent haben sie verworfen.",,
4135,21.5,21.5,78.5,"Gontenschwil AG","Gontenschwil (AG)","Gontenschwil AG","Nein zur Aargauische Klimaschutzinitiative in Gontenschwil: 78,5 Prozent haben das Begehren abgelehnt.",,
4136,19.4,19.4,80.6,"Holziken AG","Holziken (AG)","Holziken AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Holziken. 80,6 Prozent haben sie verworfen.",,
4137,15.2,15.2,84.8,"Leimbach AG","Leimbach (AG)","Leimbach AG","Nein zur Aargauische Klimaschutzinitiative in Leimbach AG: 84,8 Prozent haben das Begehren abgelehnt.",,
4138,19.7,19.7,80.3,"Leutwil AG","Leutwil (AG)","Leutwil AG","Leutwil hat die Aargauische Klimaschutzinitiative mit 80,3 Prozent abgelehnt.",,
4139,26,26,74,"Menziken AG","Menziken (AG)","Menziken AG","Menziken hat die Aargauische Klimaschutzinitiative mit 74 Prozent abgelehnt.",,
4140,25.3,25.3,74.7,"Oberkulm AG","Oberkulm (AG)","Oberkulm AG","Oberkulm hat die Aargauische Klimaschutzinitiative mit 74,7 Prozent abgelehnt.",,
4141,23.1,23.1,76.9,"Reinach AG","Reinach (AG)","Reinach AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Reinach AG. 76,9 Prozent haben sie verworfen.",,
4142,25.4,25.4,74.6,"Schlossrued AG","Schlossrued (AG)","Schlossrued AG","Schlossrued hat die Aargauische Klimaschutzinitiative mit 74,6 Prozent abgelehnt.",,
4143,18.7,18.7,81.3,"Schmiedrued AG","Schmiedrued (AG)","Schmiedrued AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Schmiedrued. 81,3 Prozent haben sie verworfen.",,
4144,25.1,25.1,74.9,"Schöftland AG","Schöftland (AG)","Schöftland AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Schöftland. 74,9 Prozent haben sie verworfen.",,
4145,23.3,23.3,76.7,"Teufenthal AG","Teufenthal (AG)","Teufenthal AG","Teufenthal AG hat die Aargauische Klimaschutzinitiative mit 76,7 Prozent abgelehnt.",,
4146,22.4,22.4,77.6,"Unterkulm AG","Unterkulm (AG)","Unterkulm AG","Unterkulm hat die Aargauische Klimaschutzinitiative mit 77,6 Prozent abgelehnt.",,
4147,16.5,16.5,83.5,"Zetzwil AG","Zetzwil (AG)","Zetzwil AG","Zetzwil hat die Aargauische Klimaschutzinitiative mit 83,5 Prozent abgelehnt.",,
4161,22.8,22.8,77.2,"Eiken AG","Eiken (AG)","Eiken AG","Eiken hat die Aargauische Klimaschutzinitiative mit 77,2 Prozent abgelehnt.",,
4163,29.1,29.1,70.9,"Frick AG","Frick (AG)","Frick AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Frick. 70,9 Prozent haben sie verworfen.",,
4164,26.8,26.8,73.2,"Gansingen AG","Gansingen (AG)","Gansingen AG","Nein zur Aargauische Klimaschutzinitiative in Gansingen: 73,2 Prozent haben das Begehren abgelehnt.",,
4165,38.9,38.9,61.1,"Gipf-Oberfrick AG","Gipf-Oberfrick (AG)","Gipf-Oberfrick AG","Nein zur Aargauische Klimaschutzinitiative in Gipf-Oberfrick: 61,1 Prozent haben das Begehren abgelehnt.",,
4169,30.4,30.4,69.6,"Kaisten AG","Kaisten (AG)","Kaisten AG","Nein zur Aargauische Klimaschutzinitiative in Kaisten: 69,6 Prozent haben das Begehren abgelehnt.",,
4170,34.1,34.1,65.9,"Laufenburg AG","Laufenburg (AG)","Laufenburg AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Laufenburg. 65,9 Prozent haben sie verworfen.",,
4172,27.4,27.4,72.6,"Münchwilen AG","Münchwilen (AG)","Münchwilen AG","Münchwilen AG hat die Aargauische Klimaschutzinitiative mit 72,6 Prozent abgelehnt.",,
